age,poverty_level,Residence,region,access_to_reproductive_health_care,education_level,teenage_pregnancy
16,Medium,Urban,Kiambu,Good,Primary,0
17,Medium,Traditional,Kitui,Moderate,Higher,0
15,Medium,Rural,Machakos,Good,Higher,0
17,Medium,Rural,Thika,Poor,Higher,1
17,High,Urban,Machakos,Poor,Higher,0
14,Medium,Urban,Machakos,Good,None,0
15,Medium,Traditional,Mandera,Good,Primary,0
15,High,Traditional,Mombasa,Poor,Higher,1
15,Low,Traditional,Garissa,Moderate,Higher,0
17,Low,Urban,Kiambu,Good,None,0
16,Low,Rural,Nyeri,Moderate,Secondary,0
15,Low,Rural,Machakos,Good,Secondary,0
18,Medium,Urban,Narok,Good,Higher,0
17,High,Rural,Kericho,Good,None,1
14,High,Urban,Isiolo,Poor,None,1
16,Low,Traditional,Wajir,Poor,None,0
18,High,Urban,Kitui,Good,Secondary,0
18,Medium,Rural,Mombasa,Moderate,Secondary,0
14,Low,Urban,Garissa,Good,Secondary,0
16,Medium,Urban,Nairobi,Moderate,None,1
17,Medium,Urban,Kiambu,Good,None,0
13,Medium,Urban,Wajir,Moderate,Secondary,1
16,Medium,Rural,Kisumu,Moderate,Higher,0
14,Medium,Traditional,Mandera,Good,Primary,1
18,Low,Rural,Meru,Good,None,0
17,Medium,Rural,Garissa,Good,None,0
16,Low,Traditional,Nakuru,Poor,Primary,0
13,High,Rural,Nakuru,Moderate,Higher,0
13,Medium,Traditional,Mombasa,Good,Secondary,0
15,Medium,Traditional,Nairobi,Poor,None,1
15,High,Urban,Narok,Good,Primary,0
14,Low,Rural,Narok,Poor,Higher,1
16,Medium,Traditional,Meru,Poor,Primary,1
16,High,Rural,Kitui,Moderate,Secondary,0
18,High,Rural,Mandera,Good,Primary,1
18,Medium,Traditional,Garissa,Poor,Higher,0
18,Low,Urban,Narok,Good,Secondary,0
15,Low,Traditional,Kakamega,Moderate,Primary,1
16,Medium,Urban,Eldoret,Poor,None,1
16,High,Traditional,Kisumu,Good,Secondary,1
13,Medium,Traditional,Nairobi,Moderate,Secondary,1
15,Low,Urban,Kakamega,Moderate,Primary,0
17,High,Urban,Nakuru,Poor,None,0
15,Medium,Rural,Narok,Moderate,Higher,1
17,High,Traditional,Narok,Poor,Primary,0
13,Low,Rural,Mandera,Moderate,Primary,1
14,Low,Rural,Kisumu,Good,Primary,0
16,Low,Urban,Kisumu,Good,None,1
13,Medium,Urban,Mombasa,Moderate,None,1
16,High,Rural,Machakos,Good,Primary,1
18,Medium,Urban,Garissa,Moderate,Secondary,1
14,Medium,Traditional,Kericho,Moderate,Secondary,0
14,Medium,Urban,Nakuru,Moderate,Higher,0
13,Medium,Urban,Garissa,Moderate,Secondary,1
14,High,Traditional,Nairobi,Poor,Secondary,0
17,High,Urban,Kiambu,Good,Primary,0
14,Medium,Rural,Kakamega,Good,Primary,0
16,Medium,Rural,Narok,Good,None,0
16,Low,Rural,Machakos,Poor,Secondary,0
16,Low,Urban,Isiolo,Moderate,Primary,0
16,High,Urban,Wajir,Poor,Higher,1
17,Low,Urban,Kitui,Good,Secondary,0
15,High,Rural,Mombasa,Moderate,Secondary,1
18,High,Urban,Isiolo,Moderate,Primary,0
13,High,Traditional,Garissa,Moderate,Higher,0
16,Low,Urban,Nakuru,Good,Primary,1
14,Low,Rural,Kiambu,Good,Higher,0
16,High,Traditional,Thika,Poor,Higher,1
14,High,Traditional,Nakuru,Good,Primary,0
18,Medium,Rural,Garissa,Moderate,Secondary,1
18,High,Traditional,Nairobi,Moderate,None,0
18,High,Traditional,Kericho,Good,Secondary,0
14,Medium,Traditional,Thika,Moderate,Primary,0
16,High,Traditional,Kitui,Moderate,Higher,1
18,High,Traditional,Nairobi,Poor,Higher,1
17,High,Urban,Isiolo,Moderate,Secondary,0
14,Medium,Rural,Garissa,Moderate,None,0
14,Low,Rural,Isiolo,Good,Primary,1
16,High,Urban,Mandera,Good,Higher,1
14,Medium,Urban,Kakamega,Moderate,Primary,0
14,High,Rural,Wajir,Poor,Secondary,1
18,Medium,Rural,Thika,Poor,Higher,1
16,High,Urban,Garissa,Moderate,Higher,1
18,Medium,Urban,Nakuru,Moderate,Higher,0
18,Low,Traditional,Kiambu,Moderate,Primary,0
16,Low,Urban,Kisumu,Moderate,None,1
13,Low,Urban,Nyeri,Poor,Higher,1
18,High,Traditional,Kakamega,Poor,Primary,1
17,Medium,Traditional,Mandera,Poor,Secondary,0
17,High,Rural,Nairobi,Poor,Primary,0
14,High,Rural,Kitui,Moderate,Secondary,1
17,Medium,Urban,Wajir,Poor,Primary,0
14,High,Traditional,Mandera,Poor,Primary,1
13,Medium,Traditional,Mombasa,Poor,Secondary,0
16,Medium,Rural,Narok,Good,Higher,0
16,Low,Rural,Kitui,Moderate,None,0
16,Low,Urban,Nakuru,Poor,Secondary,0
